表名	字段名	字段路径	实际数据量	单表空值数	空值率	命名违规数	命名违规率	字段缺失数	字段缺失率	表达违规数	表达违规率	非标准数	非标准率	有值数	有值率	时间	表名	字段名	字段路径	实际数据量	单表空值数	空值率	命名违规数	命名违规率	字段缺失数	字段缺失率	表达违规数	表达违规率	非标准数	非标准率	有值数	有值率	
患者基本信息	基本信息-出生地	basic_info-birth_place	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-出生地	basic_info-birth_place	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-性别名称	basic_info-gender_name	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	基本信息-性别名称	basic_info-gender_name	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	
患者基本信息	基本信息-门诊号-医渡唯一号	basic_info-outpatient_no-yidu_pkid	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-门诊号-医渡唯一号	basic_info-outpatient_no-yidu_pkid	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-住院号-医疗机构名称	basic_info-inpatient_no-medical_institution_name	4880939.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4880939.0	1.0		患者基本信息	基本信息-住院号-医疗机构名称	basic_info-inpatient_no-medical_institution_name	4880942.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4880942.0	1.0	
患者基本信息	新生儿信息-医渡唯一号	newborn_info-yidu_pkid	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	新生儿信息-医渡唯一号	newborn_info-yidu_pkid	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	过敏史-记录时间	allergic_history-date_of_note	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	过敏史-记录时间	allergic_history-date_of_note	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	过敏史-备注	allergic_history-comment	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	过敏史-备注	allergic_history-comment	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-户口所在地邮编	basic_info-domicile_place_zip_code	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-户口所在地邮编	basic_info-domicile_place_zip_code	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-籍贯-省（自治区、直辖市）	basic_info-ancestral_home_province	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-籍贯-省（自治区、直辖市）	basic_info-ancestral_home_province	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	过敏史-过敏源名称	allergic_history-allergic_source	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	过敏史-过敏源名称	allergic_history-allergic_source	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-工作单位名称	basic_info-company_name	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-工作单位名称	basic_info-company_name	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-职业名称	basic_info-occupation_name	4761113.0	582874.0	0.1224239	0.0	0.0	0.0	0.0	0.0	0.0	4047064.0	0.85002477	4178239.0	0.8775761		患者基本信息	基本信息-职业名称	basic_info-occupation_name	4761117.0	582874.0	0.12242379	0.0	0.0	0.0	0.0	1.0	2.1e-07	0.0	0.0	4178243.0	0.87757621	
患者基本信息	基本信息-婚姻状况名称	basic_info-marriage_status_name	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3947449.0	0.82910214	4761113.0	1.0		患者基本信息	基本信息-婚姻状况名称	basic_info-marriage_status_name	4761117.0	582874.0	0.12242379	0.0	0.0	0.0	0.0	0.0	0.0	3943178.0	0.82820439	4178243.0	0.87757621	
患者基本信息	基本信息-病案号-医疗机构名称	basic_info-medical_record_no-medical_institution_name	4880939.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4880939.0	1.0		患者基本信息	基本信息-病案号-医疗机构名称	basic_info-medical_record_no-medical_institution_name	4880942.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4880942.0	1.0	
患者基本信息	基本信息-工作单位地址-省（自治区、直辖市）	basic_info-company_address_province	4761113.0	4760313.0	0.99983197	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.26e-06	800.0	0.00016803		患者基本信息	基本信息-工作单位地址-省（自治区、直辖市）	basic_info-company_address_province	4761117.0	4760318.0	0.99983218	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.26e-06	799.0	0.00016782	
患者基本信息	基本信息-工作单位及地址	basic_info-company_name_address	4761113.0	4753093.0	0.99831552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8020.0	0.00168448		患者基本信息	基本信息-工作单位及地址	basic_info-company_name_address	4761117.0	4753099.0	0.99831594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8018.0	0.00168406	
患者基本信息	患者现地址信息-地址-县（区）编码	current_address_info-current_address_county_code	4761113.0	4157723.0	0.87326703	0.0	0.0	0.0	0.0	0.0	0.0	1493.0	0.00031358	603390.0	0.12673297		患者基本信息	患者现地址信息-地址-县（区）编码	current_address_info-current_address_county_code	4761117.0	4157674.0	0.873256	0.0	0.0	0.0	0.0	0.0	0.0	1493.0	0.00031358	603443.0	0.126744	
患者基本信息	新生儿信息-出生日期	newborn_info-birth_date	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	新生儿信息-出生日期	newborn_info-birth_date	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	过敏史-记录者姓名	allergic_history-recorder_name	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	过敏史-记录者姓名	allergic_history-recorder_name	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	过敏史-过敏标示	allergic_history-allergic_id	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	过敏史-过敏标示	allergic_history-allergic_id	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	患者现地址信息-地址-县（区）	current_address_info-current_address_county	4761113.0	4001435.0	0.84044109	0.0	0.0	0.0	0.0	0.0	0.0	156845.0	0.03294293	759678.0	0.15955891		患者基本信息	患者现地址信息-地址-县（区）	current_address_info-current_address_county	4761117.0	4001461.0	0.84044585	0.0	0.0	0.0	0.0	0.0	0.0	156770.0	0.03292715	759656.0	0.15955416	
患者基本信息	患者证件-证件类型名称	certificates-credential_type_name	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	患者证件-证件类型名称	certificates-credential_type_name	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	
患者基本信息	基本信息-户口地址-省（自治区、直辖市）	basic_info-domicile_place_province	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-户口地址-省（自治区、直辖市）	basic_info-domicile_place_province	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-籍贯-市（地区、州）	basic_info-ancestral_home_city	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-籍贯-市（地区、州）	basic_info-ancestral_home_city	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-籍贯	basic_info-ancestral_home	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-籍贯	basic_info-ancestral_home	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-出生日期	basic_info-birth_date	4761113.0	35653.0	0.00748838	0.0	0.0	0.0	0.0	64.0	1.344e-05	0.0	0.0	4725460.0	0.99251162		患者基本信息	基本信息-出生日期	basic_info-birth_date	4761117.0	35653.0	0.00748837	0.0	0.0	0.0	0.0	4725464.0	0.99251163	0.0	0.0	4725464.0	0.99251163	
患者基本信息	基本信息-患者姓名	basic_info-patient_name	4761113.0	36.0	7.56e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761077.0	0.99999244		患者基本信息	基本信息-患者姓名	basic_info-patient_name	4761117.0	36.0	7.56e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761081.0	0.99999244	
患者基本信息	患者交叉索引-医疗机构代码	pix_domain-medical_institution_code	5082838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5082838.0	1.0		患者基本信息	患者交叉索引-医疗机构代码	pix_domain-medical_institution_code	5082838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5082838.0	1.0	
患者基本信息	患者交叉索引-医疗机构内患者标示	pix_domain-patient_local_sn	5082838.0	0.0	0.0	0.0	0.0	0.0	0.0	5082838.0	1.0	0.0	0.0	5082838.0	1.0		患者基本信息	患者交叉索引-医疗机构内患者标示	pix_domain-patient_local_sn	5082838.0	0.0	0.0	0.0	0.0	0.0	0.0	5082838.0	1.0	0.0	0.0	5082838.0	1.0	
患者基本信息	患者交叉索引-医渡唯一号	pix_domain-yidu_pkid	5082838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5082838.0	1.0		患者基本信息	患者交叉索引-医渡唯一号	pix_domain-yidu_pkid	5082838.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5082838.0	1.0	
患者基本信息	患者标示	patient_sn	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	患者标示	patient_sn	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	
患者基本信息	医渡唯一号	yidu_pkid	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	医渡唯一号	yidu_pkid	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	
患者基本信息	基本信息-民族名称	basic_info-nation_name	4761113.0	937622.0	0.19693336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3823491.0	0.80306664		患者基本信息	基本信息-民族名称	basic_info-nation_name	4761117.0	937626.0	0.19693404	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3823491.0	0.80306596	
患者基本信息	基本信息-住院号-医渡唯一号	basic_info-inpatient_no-yidu_pkid	4880939.0	4420128.0	0.90558968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460811.0	0.09441032		患者基本信息	基本信息-住院号-医渡唯一号	basic_info-inpatient_no-yidu_pkid	4880942.0	4420131.0	0.90558974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460811.0	0.09441026	
患者基本信息	新生儿信息-出生地	newborn_info-birth_place	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	新生儿信息-出生地	newborn_info-birth_place	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	新生儿信息-医疗机构名称	newborn_info-medical_institution_name	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	新生儿信息-医疗机构名称	newborn_info-medical_institution_name	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	
患者基本信息	患者现地址信息-地址-市（地区、州）编码	current_address_info-current_address_city_code	4761113.0	3993409.0	0.83875535	0.0	0.0	0.0	0.0	0.0	0.0	41.0	8.61e-06	767704.0	0.16124465		患者基本信息	患者现地址信息-地址-市（地区、州）编码	current_address_info-current_address_city_code	4761117.0	3993349.0	0.83874204	0.0	0.0	0.0	0.0	0.0	0.0	41.0	8.61e-06	767768.0	0.16125796	
患者基本信息	患者证件-证件号码	certificates-credential_no	4761113.0	3997692.0	0.83965493	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	763421.0	0.16034507		患者基本信息	患者证件-证件号码	certificates-credential_no	4761117.0	3997696.0	0.83965506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	763421.0	0.16034494	
患者基本信息	基本信息-出生地-县（区）	basic_info-birth_place_county	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-出生地-县（区）	basic_info-birth_place_county	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-出生地-省（自治区、直辖市）	basic_info-birth_place_province	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-出生地-省（自治区、直辖市）	basic_info-birth_place_province	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-住院号-医疗机构代码	basic_info-inpatient_no-medical_institution_code	4880939.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4880939.0	1.0		患者基本信息	基本信息-住院号-医疗机构代码	basic_info-inpatient_no-medical_institution_code	4880942.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4880942.0	1.0	
患者基本信息	基本信息-病案号-医疗机构代码	basic_info-medical_record_no-medical_institution_code	4880939.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4880939.0	1.0		患者基本信息	基本信息-病案号-医疗机构代码	basic_info-medical_record_no-medical_institution_code	4880942.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4880942.0	1.0	
患者基本信息	基本信息-病案号-医渡唯一号	basic_info-medical_record_no-yidu_pkid	4880939.0	4420128.0	0.90558968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460811.0	0.09441032		患者基本信息	基本信息-病案号-医渡唯一号	basic_info-medical_record_no-yidu_pkid	4880942.0	4420131.0	0.90558974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460811.0	0.09441026	
患者基本信息	基本信息-工作单位电话	basic_info-work_telephone	4761113.0	4758309.0	0.99941106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2804.0	0.00058894		患者基本信息	基本信息-工作单位电话	basic_info-work_telephone	4761117.0	4758313.0	0.99941106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2804.0	0.00058894	
患者基本信息	基本信息-病案号-病案号码	basic_info-medical_record_no-id	4880939.0	4420128.0	0.90558968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460811.0	0.09441032		患者基本信息	基本信息-病案号-病案号码	basic_info-medical_record_no-id	4880942.0	4420131.0	0.90558974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460811.0	0.09441026	
患者基本信息	新生儿信息-新生儿姓名	newborn_info-newborn_name	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	新生儿信息-新生儿姓名	newborn_info-newborn_name	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	新生儿信息-医疗机构代码	newborn_info-medical_institution_code	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	新生儿信息-医疗机构代码	newborn_info-medical_institution_code	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	
患者基本信息	患者联系人信息-联系人姓名	contact-contact_name	4761113.0	4346576.0	0.91293275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	414537.0	0.08706725		患者基本信息	患者联系人信息-联系人姓名	contact-contact_name	4761117.0	4346601.0	0.91293724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	414516.0	0.08706276	
患者基本信息	患者证件-证件类型代码	certificates-credential_type	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	患者证件-证件类型代码	certificates-credential_type	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	0.0	0.0	4761117.0	1.0	
患者基本信息	基本信息-工作单位的地址	basic_info-company_address	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-工作单位的地址	basic_info-company_address	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-籍贯-县（区）	basic_info-ancestral_home_county	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	基本信息-籍贯-县（区）	basic_info-ancestral_home_county	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	基本信息-门诊号-医疗机构代码	basic_info-outpatient_no-medical_institution_code	4761113.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761113.0	1.0		患者基本信息	基本信息-门诊号-医疗机构代码	basic_info-outpatient_no-medical_institution_code	4761117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4761117.0	1.0	
患者基本信息	基本信息-住院号-住院号码	basic_info-inpatient_no-id	4880939.0	4420128.0	0.90558968	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460811.0	0.09441032		患者基本信息	基本信息-住院号-住院号码	basic_info-inpatient_no-id	4880942.0	4420131.0	0.90558974	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	460811.0	0.09441026	
患者基本信息	基本信息-工作单位邮编	basic_info-work_zip_code	4761113.0	4760223.0	0.99981307	0.0	0.0	0.0	0.0	104.0	2.184e-05	0.0	0.0	890.0	0.00018693		患者基本信息	基本信息-工作单位邮编	basic_info-work_zip_code	4761117.0	4760227.0	0.99981307	0.0	0.0	0.0	0.0	104.0	2.184e-05	0.0	0.0	890.0	0.00018693	
患者基本信息	基本信息-工作单位地址-县（区）	basic_info-company_address_county	4761113.0	4760583.0	0.99988868	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.05e-06	530.0	0.00011132		患者基本信息	基本信息-工作单位地址-县（区）	basic_info-company_address_county	4761117.0	4760588.0	0.99988889	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.05e-06	529.0	0.00011111	
患者基本信息	基本信息-工作单位地址-市（地区、州）	basic_info-company_address_city	4761113.0	4760370.0	0.99984394	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.26e-06	743.0	0.00015606		患者基本信息	基本信息-工作单位地址-市（地区、州）	basic_info-company_address_city	4761117.0	4760375.0	0.99984415	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.26e-06	742.0	0.00015585	
患者基本信息	患者联系人信息-联系人与患者关系名称	contact-relationship_name	4761113.0	4713573.0	0.99001494	0.0	0.0	0.0	0.0	0.0	0.0	39684.0	0.00833503	47540.0	0.00998506		患者基本信息	患者联系人信息-联系人与患者关系名称	contact-relationship_name	4761117.0	4713588.0	0.99001726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47529.0	0.00998274	
患者基本信息	患者现地址信息-地址-省（自治区、直辖市）	current_address_info-current_address_province	4761113.0	3806066.0	0.79940678	0.0	0.0	0.0	0.0	0.0	0.0	182083.0	0.03824379	955047.0	0.20059322		患者基本信息	患者现地址信息-地址-省（自治区、直辖市）	current_address_info-current_address_province	4761117.0	3806079.0	0.79940884	0.0	0.0	0.0	0.0	0.0	0.0	181989.0	0.03822401	955038.0	0.20059116	
患者基本信息	患者现地址信息-地址-市（地区、州）	current_address_info-current_address_city	4761113.0	3814747.0	0.80123009	0.0	0.0	0.0	0.0	0.0	0.0	180369.0	0.03788379	946366.0	0.19876991		患者基本信息	患者现地址信息-地址-市（地区、州）	current_address_info-current_address_city	4761117.0	3814764.0	0.80123299	0.0	0.0	0.0	0.0	0.0	0.0	180281.0	0.03786527	946353.0	0.19876701	
患者基本信息	基本信息-家庭电话	basic_info-telephone	4761113.0	645990.0	0.13568046	0.0	0.0	0.0	0.0	269.0	5.65e-05	0.0	0.0	4115123.0	0.86431954		患者基本信息	基本信息-家庭电话	basic_info-telephone	4761117.0	646006.0	0.13568371	0.0	0.0	0.0	0.0	269.0	5.65e-05	0.0	0.0	4115111.0	0.86431629	
患者基本信息	新生儿信息-新生儿性别	newborn_info-gender_name	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	新生儿信息-新生儿性别	newborn_info-gender_name	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	过敏史-过敏症状	allergic_history-allergic_symptom	4761113.0	4761113.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	过敏史-过敏症状	allergic_history-allergic_symptom	4761117.0	4761117.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
患者基本信息	患者医疗保险信息-医保卡号	medical_insurance-insurance_card_no	5031908.0	5031908.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		患者基本信息	患者医疗保险信息-医保卡号	medical_insurance-insurance_card_no	5031910.0	5031910.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
