title	type	test_type	year1	month1	_c5
检验记录日期年份分布	住院	微生物	2016	7	3497
检验记录日期年份分布	住院	微生物	2016	8	3697
检验记录日期年份分布	住院	微生物	2016	9	3252
检验记录日期年份分布	住院	微生物	2016	10	3045
检验记录日期年份分布	住院	微生物	2016	11	3346
检验记录日期年份分布	住院	微生物	2016	12	3447
检验记录日期年份分布	住院	微生物	2017	1	3020
检验记录日期年份分布	住院	微生物	2017	2	3180
检验记录日期年份分布	住院	微生物	2017	3	3816
检验记录日期年份分布	住院	微生物	2017	4	3321
检验记录日期年份分布	住院	微生物	2017	5	3619
检验记录日期年份分布	住院	微生物	2017	6	3402
检验记录日期年份分布	住院	微生物	2017	7	3476
检验记录日期年份分布	住院	微生物	2017	8	3547
检验记录日期年份分布	住院	微生物	2017	9	3616
检验记录日期年份分布	住院	微生物	2017	10	3187
检验记录日期年份分布	住院	微生物	2017	11	3467
检验记录日期年份分布	住院	微生物	2017	12	3186
检验记录日期年份分布	住院	微生物	2018	1	3600
检验记录日期年份分布	住院	微生物	2018	2	2746
检验记录日期年份分布	住院	微生物	2018	3	3263
检验记录日期年份分布	住院	微生物	2018	4	3317
检验记录日期年份分布	住院	微生物	2018	5	3458
检验记录日期年份分布	住院	微生物	2018	6	1031
检验记录日期年份分布	住院	检验	NULL	NULL	456285
检验记录日期年份分布	住院	检验	2000	1	33
检验记录日期年份分布	住院	检验	2006	1	8869
检验记录日期年份分布	住院	检验	2006	2	9396
检验记录日期年份分布	住院	检验	2006	3	12726
检验记录日期年份分布	住院	检验	2006	4	11529
检验记录日期年份分布	住院	检验	2006	5	12285
检验记录日期年份分布	住院	检验	2006	6	13893
检验记录日期年份分布	住院	检验	2006	7	13590
检验记录日期年份分布	住院	检验	2006	8	14523
检验记录日期年份分布	住院	检验	2006	9	13684
检验记录日期年份分布	住院	检验	2006	10	14298
检验记录日期年份分布	住院	检验	2006	11	15040
检验记录日期年份分布	住院	检验	2006	12	14815
检验记录日期年份分布	住院	检验	2007	1	16442
检验记录日期年份分布	住院	检验	2007	2	10810
检验记录日期年份分布	住院	检验	2007	3	16222
检验记录日期年份分布	住院	检验	2007	4	16560
检验记录日期年份分布	住院	检验	2007	5	15038
检验记录日期年份分布	住院	检验	2007	6	15795
检验记录日期年份分布	住院	检验	2007	7	16685
检验记录日期年份分布	住院	检验	2007	8	16059
检验记录日期年份分布	住院	检验	2007	9	14427
检验记录日期年份分布	住院	检验	2007	10	16967
检验记录日期年份分布	住院	检验	2007	11	18221
检验记录日期年份分布	住院	检验	2007	12	18824
检验记录日期年份分布	住院	检验	2008	1	18603
检验记录日期年份分布	住院	检验	2008	2	14036
检验记录日期年份分布	住院	检验	2008	3	18309
检验记录日期年份分布	住院	检验	2008	4	18644
检验记录日期年份分布	住院	检验	2008	5	19761
检验记录日期年份分布	住院	检验	2008	6	19489
检验记录日期年份分布	住院	检验	2008	7	21257
检验记录日期年份分布	住院	检验	2008	8	19477
检验记录日期年份分布	住院	检验	2008	9	21111
检验记录日期年份分布	住院	检验	2008	10	21148
检验记录日期年份分布	住院	检验	2008	11	19191
检验记录日期年份分布	住院	检验	2008	12	23391
检验记录日期年份分布	住院	检验	2009	1	17243
检验记录日期年份分布	住院	检验	2009	2	21938
检验记录日期年份分布	住院	检验	2009	3	24639
检验记录日期年份分布	住院	检验	2009	4	24394
检验记录日期年份分布	住院	检验	2009	5	23956
检验记录日期年份分布	住院	检验	2009	6	25491
检验记录日期年份分布	住院	检验	2009	7	26861
检验记录日期年份分布	住院	检验	2009	8	25311
检验记录日期年份分布	住院	检验	2009	9	24523
检验记录日期年份分布	住院	检验	2009	10	23354
检验记录日期年份分布	住院	检验	2009	11	23260
检验记录日期年份分布	住院	检验	2009	12	26751
检验记录日期年份分布	住院	检验	2010	1	25182
检验记录日期年份分布	住院	检验	2010	2	18473
检验记录日期年份分布	住院	检验	2010	3	28299
检验记录日期年份分布	住院	检验	2010	4	27945
检验记录日期年份分布	住院	检验	2010	5	26653
检验记录日期年份分布	住院	检验	2010	6	26989
检验记录日期年份分布	住院	检验	2010	7	28204
检验记录日期年份分布	住院	检验	2010	8	28126
检验记录日期年份分布	住院	检验	2010	9	26874
检验记录日期年份分布	住院	检验	2010	10	25930
检验记录日期年份分布	住院	检验	2010	11	27270
检验记录日期年份分布	住院	检验	2010	12	27192
检验记录日期年份分布	住院	检验	2011	1	24724
检验记录日期年份分布	住院	检验	2011	2	21321
检验记录日期年份分布	住院	检验	2011	3	30312
检验记录日期年份分布	住院	检验	2011	4	28199
检验记录日期年份分布	住院	检验	2011	5	30132
检验记录日期年份分布	住院	检验	2011	6	29848
检验记录日期年份分布	住院	检验	2011	7	30502
检验记录日期年份分布	住院	检验	2011	8	31944
检验记录日期年份分布	住院	检验	2011	9	31029
检验记录日期年份分布	住院	检验	2011	10	29187
检验记录日期年份分布	住院	检验	2011	11	38278
检验记录日期年份分布	住院	检验	2011	12	44601
检验记录日期年份分布	住院	检验	2012	1	13279
检验记录日期年份分布	住院	检验	2012	2	15575
检验记录日期年份分布	住院	检验	2012	3	19428
检验记录日期年份分布	住院	检验	2012	4	21942
检验记录日期年份分布	住院	检验	2012	5	29079
检验记录日期年份分布	住院	检验	2012	6	26799
检验记录日期年份分布	住院	检验	2012	7	31251
检验记录日期年份分布	住院	检验	2012	8	33097
检验记录日期年份分布	住院	检验	2012	9	32931
检验记录日期年份分布	住院	检验	2012	10	35857
检验记录日期年份分布	住院	检验	2012	11	34872
检验记录日期年份分布	住院	检验	2012	12	34135
检验记录日期年份分布	住院	检验	2013	1	34941
检验记录日期年份分布	住院	检验	2013	2	25045
检验记录日期年份分布	住院	检验	2013	3	36327
检验记录日期年份分布	住院	检验	2013	4	35770
检验记录日期年份分布	住院	检验	2013	5	37287
检验记录日期年份分布	住院	检验	2013	6	32513
检验记录日期年份分布	住院	检验	2013	7	38833
检验记录日期年份分布	住院	检验	2013	8	35454
检验记录日期年份分布	住院	检验	2013	9	33906
检验记录日期年份分布	住院	检验	2013	10	35421
检验记录日期年份分布	住院	检验	2013	11	33973
检验记录日期年份分布	住院	检验	2013	12	36328
检验记录日期年份分布	住院	检验	2014	1	32331
检验记录日期年份分布	住院	检验	2014	2	30964
检验记录日期年份分布	住院	检验	2014	3	37689
检验记录日期年份分布	住院	检验	2014	4	37848
检验记录日期年份分布	住院	检验	2014	5	35794
检验记录日期年份分布	住院	检验	2014	6	37449
检验记录日期年份分布	住院	检验	2014	7	39870
检验记录日期年份分布	住院	检验	2014	8	37087
检验记录日期年份分布	住院	检验	2014	9	38051
检验记录日期年份分布	住院	检验	2014	10	37259
检验记录日期年份分布	住院	检验	2014	11	35475
检验记录日期年份分布	住院	检验	2014	12	38371
检验记录日期年份分布	住院	检验	2015	1	38817
检验记录日期年份分布	住院	检验	2015	2	28144
检验记录日期年份分布	住院	检验	2015	3	41041
检验记录日期年份分布	住院	检验	2015	4	39818
检验记录日期年份分布	住院	检验	2015	5	37510
检验记录日期年份分布	住院	检验	2015	6	38729
检验记录日期年份分布	住院	检验	2015	7	42670
检验记录日期年份分布	住院	检验	2015	8	40465
检验记录日期年份分布	住院	检验	2015	9	39929
检验记录日期年份分布	住院	检验	2015	10	38452
检验记录日期年份分布	住院	检验	2015	11	40309
检验记录日期年份分布	住院	检验	2015	12	41457
检验记录日期年份分布	住院	检验	2016	1	37821
检验记录日期年份分布	住院	检验	2016	2	32005
检验记录日期年份分布	住院	检验	2016	3	44160
检验记录日期年份分布	住院	检验	2016	4	41067
检验记录日期年份分布	住院	检验	2016	5	42885
检验记录日期年份分布	住院	检验	2016	6	42387
检验记录日期年份分布	住院	检验	2016	7	42797
检验记录日期年份分布	住院	检验	2016	8	46620
检验记录日期年份分布	住院	检验	2016	9	40853
检验记录日期年份分布	住院	检验	2016	10	39922
检验记录日期年份分布	住院	检验	2016	11	43620
检验记录日期年份分布	住院	检验	2016	12	42448
检验记录日期年份分布	住院	检验	2017	1	35599
检验记录日期年份分布	住院	检验	2017	2	41621
检验记录日期年份分布	住院	检验	2017	3	47505
检验记录日期年份分布	住院	检验	2017	4	42172
检验记录日期年份分布	住院	检验	2017	5	45553
检验记录日期年份分布	住院	检验	2017	6	45693
检验记录日期年份分布	住院	检验	2017	7	46594
检验记录日期年份分布	住院	检验	2017	8	49257
检验记录日期年份分布	住院	检验	2017	9	46921
检验记录日期年份分布	住院	检验	2017	10	44260
检验记录日期年份分布	住院	检验	2017	11	48518
检验记录日期年份分布	住院	检验	2017	12	46506
检验记录日期年份分布	住院	检验	2018	1	51633
检验记录日期年份分布	住院	检验	2018	2	37538
检验记录日期年份分布	住院	检验	2018	3	50677
检验记录日期年份分布	住院	检验	2018	4	48974
检验记录日期年份分布	住院	检验	2018	5	53390
检验记录日期年份分布	住院	检验	2018	6	19978
检验记录日期年份分布	急诊	微生物	2012	8	4
检验记录日期年份分布	急诊	微生物	2012	9	113
检验记录日期年份分布	急诊	微生物	2012	10	86
检验记录日期年份分布	急诊	微生物	2012	11	124
检验记录日期年份分布	急诊	微生物	2012	12	98
检验记录日期年份分布	急诊	微生物	2013	1	104
检验记录日期年份分布	急诊	微生物	2013	2	63
检验记录日期年份分布	急诊	微生物	2013	3	61
检验记录日期年份分布	急诊	微生物	2013	4	53
检验记录日期年份分布	急诊	微生物	2013	5	54
检验记录日期年份分布	急诊	微生物	2013	6	55
检验记录日期年份分布	急诊	微生物	2013	7	40
检验记录日期年份分布	急诊	微生物	2013	8	41
检验记录日期年份分布	急诊	微生物	2013	9	39
检验记录日期年份分布	急诊	微生物	2013	10	43
检验记录日期年份分布	急诊	微生物	2013	11	10
检验记录日期年份分布	急诊	微生物	2013	12	23
检验记录日期年份分布	急诊	微生物	2014	1	40
检验记录日期年份分布	急诊	微生物	2014	2	29
检验记录日期年份分布	急诊	微生物	2014	3	25
检验记录日期年份分布	急诊	微生物	2014	4	39
检验记录日期年份分布	急诊	微生物	2014	5	74
检验记录日期年份分布	急诊	微生物	2014	6	16
检验记录日期年份分布	急诊	微生物	2014	7	27
检验记录日期年份分布	急诊	微生物	2014	8	47
检验记录日期年份分布	急诊	微生物	2014	9	17
检验记录日期年份分布	急诊	微生物	2014	10	59
检验记录日期年份分布	急诊	微生物	2014	11	22
检验记录日期年份分布	急诊	微生物	2014	12	27
检验记录日期年份分布	急诊	微生物	2015	1	14
检验记录日期年份分布	急诊	微生物	2015	2	5
检验记录日期年份分布	急诊	微生物	2015	3	5
检验记录日期年份分布	急诊	微生物	2015	4	17
检验记录日期年份分布	急诊	微生物	2015	5	50
检验记录日期年份分布	急诊	微生物	2015	6	63
检验记录日期年份分布	急诊	微生物	2015	7	32
检验记录日期年份分布	急诊	微生物	2015	8	42
检验记录日期年份分布	急诊	微生物	2015	9	40
检验记录日期年份分布	急诊	微生物	2015	10	36
检验记录日期年份分布	急诊	微生物	2015	11	53
检验记录日期年份分布	急诊	微生物	2015	12	122
检验记录日期年份分布	急诊	微生物	2016	1	156
检验记录日期年份分布	急诊	微生物	2016	2	101
检验记录日期年份分布	急诊	微生物	2016	3	56
检验记录日期年份分布	急诊	微生物	2016	4	77
检验记录日期年份分布	急诊	微生物	2016	5	90
检验记录日期年份分布	急诊	微生物	2016	6	54
检验记录日期年份分布	急诊	微生物	2016	7	77
检验记录日期年份分布	急诊	微生物	2016	8	91
检验记录日期年份分布	急诊	微生物	2016	9	74
检验记录日期年份分布	急诊	微生物	2016	10	60
检验记录日期年份分布	急诊	微生物	2016	11	75
检验记录日期年份分布	急诊	微生物	2016	12	47
检验记录日期年份分布	急诊	微生物	2017	1	67
检验记录日期年份分布	急诊	微生物	2017	2	49
检验记录日期年份分布	急诊	微生物	2017	3	87
检验记录日期年份分布	急诊	微生物	2017	4	73
检验记录日期年份分布	急诊	微生物	2017	5	47
检验记录日期年份分布	急诊	微生物	2017	6	54
检验记录日期年份分布	急诊	微生物	2017	7	72
检验记录日期年份分布	急诊	微生物	2017	8	47
检验记录日期年份分布	急诊	微生物	2017	9	62
检验记录日期年份分布	急诊	微生物	2017	10	59
检验记录日期年份分布	急诊	微生物	2017	11	56
检验记录日期年份分布	急诊	微生物	2017	12	72
检验记录日期年份分布	急诊	微生物	2018	1	37
检验记录日期年份分布	急诊	微生物	2018	2	41
检验记录日期年份分布	急诊	微生物	2018	3	63
检验记录日期年份分布	急诊	微生物	2018	4	84
检验记录日期年份分布	急诊	微生物	2018	5	80
检验记录日期年份分布	急诊	微生物	2018	6	26
检验记录日期年份分布	急诊	检验	NULL	NULL	41023
检验记录日期年份分布	急诊	检验	2011	1	4
检验记录日期年份分布	急诊	检验	2011	3	9
检验记录日期年份分布	急诊	检验	2011	4	31
检验记录日期年份分布	急诊	检验	2011	5	34
检验记录日期年份分布	急诊	检验	2011	6	28
检验记录日期年份分布	急诊	检验	2011	7	26
检验记录日期年份分布	急诊	检验	2011	8	33
检验记录日期年份分布	急诊	检验	2011	9	50
检验记录日期年份分布	急诊	检验	2011	10	83
检验记录日期年份分布	急诊	检验	2011	11	440
检验记录日期年份分布	急诊	检验	2011	12	731
检验记录日期年份分布	急诊	检验	2012	1	628
检验记录日期年份分布	急诊	检验	2012	2	665
检验记录日期年份分布	急诊	检验	2012	3	971
检验记录日期年份分布	急诊	检验	2012	4	735
检验记录日期年份分布	急诊	检验	2012	5	1441
检验记录日期年份分布	急诊	检验	2012	6	1333
检验记录日期年份分布	急诊	检验	2012	7	1563
检验记录日期年份分布	急诊	检验	2012	8	1789
检验记录日期年份分布	急诊	检验	2012	9	1732
检验记录日期年份分布	急诊	检验	2012	10	1870
检验记录日期年份分布	急诊	检验	2012	11	1951
检验记录日期年份分布	急诊	检验	2012	12	1840
检验记录日期年份分布	急诊	检验	2013	1	1855
检验记录日期年份分布	急诊	检验	2013	2	1307
检验记录日期年份分布	急诊	检验	2013	3	1643
检验记录日期年份分布	急诊	检验	2013	4	1362
检验记录日期年份分布	急诊	检验	2013	5	1425
检验记录日期年份分布	急诊	检验	2013	6	1293
检验记录日期年份分布	急诊	检验	2013	7	1598
检验记录日期年份分布	急诊	检验	2013	8	1232
检验记录日期年份分布	急诊	检验	2013	9	1196
检验记录日期年份分布	急诊	检验	2013	10	1083
检验记录日期年份分布	急诊	检验	2013	11	812
检验记录日期年份分布	急诊	检验	2013	12	1084
检验记录日期年份分布	急诊	检验	2014	1	1269
检验记录日期年份分布	急诊	检验	2014	2	1032
检验记录日期年份分布	急诊	检验	2014	3	1270
检验记录日期年份分布	急诊	检验	2014	4	1555
检验记录日期年份分布	急诊	检验	2014	5	1667
检验记录日期年份分布	急诊	检验	2014	6	1484
检验记录日期年份分布	急诊	检验	2014	7	1526
检验记录日期年份分布	急诊	检验	2014	8	1451
检验记录日期年份分布	急诊	检验	2014	9	1154
检验记录日期年份分布	急诊	检验	2014	10	1321
检验记录日期年份分布	急诊	检验	2014	11	987
检验记录日期年份分布	急诊	检验	2014	12	1159
检验记录日期年份分布	急诊	检验	2015	1	1252
检验记录日期年份分布	急诊	检验	2015	2	909
检验记录日期年份分布	急诊	检验	2015	3	1293
检验记录日期年份分布	急诊	检验	2015	4	1452
检验记录日期年份分布	急诊	检验	2015	5	1808
检验记录日期年份分布	急诊	检验	2015	6	1860
检验记录日期年份分布	急诊	检验	2015	7	1781
检验记录日期年份分布	急诊	检验	2015	8	1993
检验记录日期年份分布	急诊	检验	2015	9	1661
检验记录日期年份分布	急诊	检验	2015	10	1773
检验记录日期年份分布	急诊	检验	2015	11	1803
检验记录日期年份分布	急诊	检验	2015	12	2162
检验记录日期年份分布	急诊	检验	2016	1	2594
检验记录日期年份分布	急诊	检验	2016	2	2175
检验记录日期年份分布	急诊	检验	2016	3	2306
检验记录日期年份分布	急诊	检验	2016	4	2439
检验记录日期年份分布	急诊	检验	2016	5	2313
检验记录日期年份分布	急诊	检验	2016	6	2343
检验记录日期年份分布	急诊	检验	2016	7	2473
检验记录日期年份分布	急诊	检验	2016	8	2301
检验记录日期年份分布	急诊	检验	2016	9	2275
检验记录日期年份分布	急诊	检验	2016	10	2654
检验记录日期年份分布	急诊	检验	2016	11	2539
检验记录日期年份分布	急诊	检验	2016	12	2801
检验记录日期年份分布	急诊	检验	2017	1	2962
检验记录日期年份分布	急诊	检验	2017	2	2559
检验记录日期年份分布	急诊	检验	2017	3	2808
检验记录日期年份分布	急诊	检验	2017	4	2824
检验记录日期年份分布	急诊	检验	2017	5	3255
检验记录日期年份分布	急诊	检验	2017	6	3017
检验记录日期年份分布	急诊	检验	2017	7	3237
检验记录日期年份分布	急诊	检验	2017	8	2665
检验记录日期年份分布	急诊	检验	2017	9	2357
检验记录日期年份分布	急诊	检验	2017	10	2521
检验记录日期年份分布	急诊	检验	2017	11	2275
检验记录日期年份分布	急诊	检验	2017	12	2545
检验记录日期年份分布	急诊	检验	2018	1	2746
检验记录日期年份分布	急诊	检验	2018	2	2349
检验记录日期年份分布	急诊	检验	2018	3	2590
检验记录日期年份分布	急诊	检验	2018	4	2797
检验记录日期年份分布	急诊	检验	2018	5	2920
检验记录日期年份分布	急诊	检验	2018	6	1182
检验记录日期年份分布	虚拟就诊	微生物	2005	4	1
检验记录日期年份分布	虚拟就诊	微生物	2005	12	18
检验记录日期年份分布	虚拟就诊	微生物	2006	12	1
检验记录日期年份分布	虚拟就诊	微生物	2008	12	1
检验记录日期年份分布	虚拟就诊	微生物	2012	10	2
检验记录日期年份分布	虚拟就诊	微生物	2012	11	13
检验记录日期年份分布	虚拟就诊	微生物	2012	12	6
检验记录日期年份分布	虚拟就诊	微生物	2013	2	2
检验记录日期年份分布	虚拟就诊	微生物	2014	2	26
检验记录日期年份分布	虚拟就诊	微生物	2014	3	12
检验记录日期年份分布	虚拟就诊	微生物	2014	7	2
检验记录日期年份分布	虚拟就诊	微生物	2014	12	6
检验记录日期年份分布	虚拟就诊	微生物	2015	3	1
检验记录日期年份分布	虚拟就诊	微生物	2015	8	3
检验记录日期年份分布	虚拟就诊	微生物	2016	3	6
检验记录日期年份分布	虚拟就诊	微生物	2016	5	3
检验记录日期年份分布	虚拟就诊	微生物	2016	6	3
检验记录日期年份分布	虚拟就诊	微生物	2016	8	2
检验记录日期年份分布	虚拟就诊	微生物	2017	1	3
检验记录日期年份分布	虚拟就诊	微生物	2017	6	9
检验记录日期年份分布	虚拟就诊	微生物	2017	10	3
检验记录日期年份分布	虚拟就诊	微生物	2017	12	3
检验记录日期年份分布	虚拟就诊	微生物	2018	2	3
检验记录日期年份分布	虚拟就诊	微生物	2018	5	6
检验记录日期年份分布	虚拟就诊	检验	NULL	NULL	110121
检验记录日期年份分布	虚拟就诊	检验	2008	12	2
检验记录日期年份分布	虚拟就诊	检验	2009	2	2
检验记录日期年份分布	虚拟就诊	检验	2009	4	6
检验记录日期年份分布	虚拟就诊	检验	2011	3	1
检验记录日期年份分布	虚拟就诊	检验	2011	4	4
检验记录日期年份分布	虚拟就诊	检验	2011	5	3
检验记录日期年份分布	虚拟就诊	检验	2011	7	2
检验记录日期年份分布	虚拟就诊	检验	2012	2	2
检验记录日期年份分布	虚拟就诊	检验	2012	3	18
检验记录日期年份分布	虚拟就诊	检验	2012	4	3
检验记录日期年份分布	虚拟就诊	检验	2012	6	10
检验记录日期年份分布	虚拟就诊	检验	2012	7	1
检验记录日期年份分布	虚拟就诊	检验	2012	9	3
检验记录日期年份分布	虚拟就诊	检验	2012	10	2
检验记录日期年份分布	虚拟就诊	检验	2012	11	14
检验记录日期年份分布	虚拟就诊	检验	2012	12	7
检验记录日期年份分布	虚拟就诊	检验	2013	1	1
检验记录日期年份分布	虚拟就诊	检验	2013	2	8
检验记录日期年份分布	虚拟就诊	检验	2013	3	2
检验记录日期年份分布	虚拟就诊	检验	2013	4	1
检验记录日期年份分布	虚拟就诊	检验	2013	5	1
检验记录日期年份分布	虚拟就诊	检验	2013	6	6
检验记录日期年份分布	虚拟就诊	检验	2013	7	1
检验记录日期年份分布	虚拟就诊	检验	2013	8	2
检验记录日期年份分布	虚拟就诊	检验	2013	10	18
检验记录日期年份分布	虚拟就诊	检验	2013	11	6
检验记录日期年份分布	虚拟就诊	检验	2013	12	86
检验记录日期年份分布	虚拟就诊	检验	2014	1	110
检验记录日期年份分布	虚拟就诊	检验	2014	2	149
检验记录日期年份分布	虚拟就诊	检验	2014	3	157
检验记录日期年份分布	虚拟就诊	检验	2014	4	249
检验记录日期年份分布	虚拟就诊	检验	2014	5	273
检验记录日期年份分布	虚拟就诊	检验	2014	6	338
检验记录日期年份分布	虚拟就诊	检验	2014	7	374
检验记录日期年份分布	虚拟就诊	检验	2014	8	138
检验记录日期年份分布	虚拟就诊	检验	2014	9	38
检验记录日期年份分布	虚拟就诊	检验	2014	10	38
检验记录日期年份分布	虚拟就诊	检验	2014	11	52
检验记录日期年份分布	虚拟就诊	检验	2014	12	41
检验记录日期年份分布	虚拟就诊	检验	2015	1	74
检验记录日期年份分布	虚拟就诊	检验	2015	3	3
检验记录日期年份分布	虚拟就诊	检验	2015	6	2
检验记录日期年份分布	虚拟就诊	检验	2015	8	5
检验记录日期年份分布	虚拟就诊	检验	2015	9	19
检验记录日期年份分布	虚拟就诊	检验	2015	10	42
检验记录日期年份分布	虚拟就诊	检验	2015	11	46
检验记录日期年份分布	虚拟就诊	检验	2015	12	1
检验记录日期年份分布	虚拟就诊	检验	2016	1	22
检验记录日期年份分布	虚拟就诊	检验	2016	2	2
检验记录日期年份分布	虚拟就诊	检验	2016	3	6
检验记录日期年份分布	虚拟就诊	检验	2016	4	6
检验记录日期年份分布	虚拟就诊	检验	2016	5	5
检验记录日期年份分布	虚拟就诊	检验	2016	6	11
检验记录日期年份分布	虚拟就诊	检验	2016	8	2
检验记录日期年份分布	虚拟就诊	检验	2016	9	56
检验记录日期年份分布	虚拟就诊	检验	2016	10	56
检验记录日期年份分布	虚拟就诊	检验	2016	11	30
检验记录日期年份分布	虚拟就诊	检验	2016	12	9
检验记录日期年份分布	虚拟就诊	检验	2017	1	3
检验记录日期年份分布	虚拟就诊	检验	2017	2	1
检验记录日期年份分布	虚拟就诊	检验	2017	5	1
检验记录日期年份分布	虚拟就诊	检验	2017	6	10
检验记录日期年份分布	虚拟就诊	检验	2017	7	2
检验记录日期年份分布	虚拟就诊	检验	2017	8	2
检验记录日期年份分布	虚拟就诊	检验	2017	9	58
检验记录日期年份分布	虚拟就诊	检验	2017	10	65
检验记录日期年份分布	虚拟就诊	检验	2017	11	48
检验记录日期年份分布	虚拟就诊	检验	2017	12	3
检验记录日期年份分布	虚拟就诊	检验	2018	2	3
检验记录日期年份分布	虚拟就诊	检验	2018	3	1
检验记录日期年份分布	虚拟就诊	检验	2018	4	4
检验记录日期年份分布	虚拟就诊	检验	2018	5	11
检验记录日期年份分布	虚拟就诊	检验	2018	6	1
检验记录日期年份分布	门诊	微生物	2008	8	2
检验记录日期年份分布	门诊	微生物	2008	10	4
检验记录日期年份分布	门诊	微生物	2011	5	1
检验记录日期年份分布	门诊	微生物	2012	8	31
检验记录日期年份分布	门诊	微生物	2012	9	147
检验记录日期年份分布	门诊	微生物	2012	10	179
检验记录日期年份分布	门诊	微生物	2012	11	211
检验记录日期年份分布	门诊	微生物	2012	12	128
检验记录日期年份分布	门诊	微生物	2013	1	185
检验记录日期年份分布	门诊	微生物	2013	2	83
检验记录日期年份分布	门诊	微生物	2013	3	116
检验记录日期年份分布	门诊	微生物	2013	4	107
检验记录日期年份分布	门诊	微生物	2013	5	175
检验记录日期年份分布	门诊	微生物	2013	6	104
检验记录日期年份分布	门诊	微生物	2013	7	152
检验记录日期年份分布	门诊	微生物	2013	8	112
检验记录日期年份分布	门诊	微生物	2013	9	119
检验记录日期年份分布	门诊	微生物	2013	10	85
检验记录日期年份分布	门诊	微生物	2013	11	118
检验记录日期年份分布	门诊	微生物	2013	12	141
检验记录日期年份分布	门诊	微生物	2014	1	144
检验记录日期年份分布	门诊	微生物	2014	2	143
检验记录日期年份分布	门诊	微生物	2014	3	152
检验记录日期年份分布	门诊	微生物	2014	4	157
检验记录日期年份分布	门诊	微生物	2014	5	139
检验记录日期年份分布	门诊	微生物	2014	6	126
检验记录日期年份分布	门诊	微生物	2014	7	176
检验记录日期年份分布	门诊	微生物	2014	8	248
检验记录日期年份分布	门诊	微生物	2014	9	193
检验记录日期年份分布	门诊	微生物	2014	10	100
检验记录日期年份分布	门诊	微生物	2014	11	94
检验记录日期年份分布	门诊	微生物	2014	12	100
检验记录日期年份分布	门诊	微生物	2015	1	92
检验记录日期年份分布	门诊	微生物	2015	2	82
检验记录日期年份分布	门诊	微生物	2015	3	46
检验记录日期年份分布	门诊	微生物	2015	4	100
检验记录日期年份分布	门诊	微生物	2015	5	127
检验记录日期年份分布	门诊	微生物	2015	6	140
检验记录日期年份分布	门诊	微生物	2015	7	140
检验记录日期年份分布	门诊	微生物	2015	8	123
检验记录日期年份分布	门诊	微生物	2015	9	86
检验记录日期年份分布	门诊	微生物	2015	10	118
检验记录日期年份分布	门诊	微生物	2015	11	89
检验记录日期年份分布	门诊	微生物	2015	12	109
检验记录日期年份分布	门诊	微生物	2016	1	160
检验记录日期年份分布	门诊	微生物	2016	2	129
检验记录日期年份分布	门诊	微生物	2016	3	176
检验记录日期年份分布	门诊	微生物	2016	4	118
检验记录日期年份分布	门诊	微生物	2016	5	122
