_c0	b1.diagnosis_type_name	visit_type	year1	month1	_c5
诊断记录表	门诊诊断	门诊	2016	7	128353
诊断记录表	门诊诊断	门诊	2016	8	138426
诊断记录表	门诊诊断	门诊	2016	9	138150
诊断记录表	门诊诊断	门诊	2016	10	132768
诊断记录表	门诊诊断	门诊	2016	11	143923
诊断记录表	门诊诊断	门诊	2016	12	160159
诊断记录表	门诊诊断	门诊	2017	1	119232
诊断记录表	门诊诊断	门诊	2017	2	124612
诊断记录表	门诊诊断	门诊	2017	3	149898
诊断记录表	门诊诊断	门诊	2017	4	137839
诊断记录表	门诊诊断	门诊	2017	5	146898
诊断记录表	门诊诊断	门诊	2017	6	146235
诊断记录表	门诊诊断	门诊	2017	7	140734
诊断记录表	门诊诊断	门诊	2017	8	150981
诊断记录表	门诊诊断	门诊	2017	9	156390
诊断记录表	门诊诊断	门诊	2017	10	17430
